Vardas              Pavarde             Galutinis(vid.)   
Vardas2488          Pavarde2488         1.2               
Vardas2489          Pavarde2489         2.4               
Vardas2490          Pavarde2490         6                 
Vardas2491          Pavarde2491         3                 
Vardas2492          Pavarde2492         3                 
Vardas2493          Pavarde2493         1.2               
Vardas2494          Pavarde2494         1.2               
Vardas2495          Pavarde2495         5.4               
Vardas2496          Pavarde2496         2.4               
Vardas2497          Pavarde2497         3.6               
Vardas2498          Pavarde2498         5.4               
Vardas2499          Pavarde2499         2.4               
Vardas2500          Pavarde2500         1.8               
Vardas2501          Pavarde2501         4.2               
Vardas2502          Pavarde2502         4.8               
Vardas2503          Pavarde2503         2.4               
Vardas2504          Pavarde2504         4.2               
Vardas2505          Pavarde2505         4.8               
Vardas2506          Pavarde2506         4.2               
Vardas2507          Pavarde2507         3.6               
Vardas2508          Pavarde2508         1.2               
Vardas2509          Pavarde2509         1.8               
Vardas2510          Pavarde2510         5.4               
Vardas2511          Pavarde2511         3                 
Vardas2512          Pavarde2512         3                 
Vardas2513          Pavarde2513         1.8               
Vardas2514          Pavarde2514         4.8               
Vardas2515          Pavarde2515         1.2               
Vardas2516          Pavarde2516         6                 
Vardas2517          Pavarde2517         1.2               
Vardas2518          Pavarde2518         2.4               
Vardas2519          Pavarde2519         4.8               
Vardas2520          Pavarde2520         3.6               
Vardas2521          Pavarde2521         4.2               
Vardas2522          Pavarde2522         1.8               
Vardas2523          Pavarde2523         1.8               
Vardas2524          Pavarde2524         2.4               
Vardas2525          Pavarde2525         6                 
Vardas2526          Pavarde2526         6                 
Vardas2527          Pavarde2527         2.4               
Vardas2528          Pavarde2528         1.8               
Vardas2529          Pavarde2529         2.4               
Vardas2530          Pavarde2530         1.2               
Vardas2531          Pavarde2531         3.6               
Vardas2532          Pavarde2532         3.6               
Vardas2533          Pavarde2533         4.2               
Vardas2534          Pavarde2534         1.2               
Vardas2535          Pavarde2535         4.2               
Vardas2536          Pavarde2536         0.6               
Vardas2537          Pavarde2537         3                 
Vardas2538          Pavarde2538         2.4               
Vardas2539          Pavarde2539         5.4               
Vardas2540          Pavarde2540         5.4               
Vardas2541          Pavarde2541         4.2               
Vardas2542          Pavarde2542         2.4               
Vardas2543          Pavarde2543         0.6               
Vardas2544          Pavarde2544         1.2               
Vardas2545          Pavarde2545         4.2               
Vardas2546          Pavarde2546         2.4               
Vardas2547          Pavarde2547         4.2               
Vardas2548          Pavarde2548         3                 
Vardas2549          Pavarde2549         3.6               
Vardas2550          Pavarde2550         2.4               
Vardas2551          Pavarde2551         4.8               
Vardas2552          Pavarde2552         1.8               
Vardas2553          Pavarde2553         0.6               
Vardas2554          Pavarde2554         5.4               
Vardas2555          Pavarde2555         5.4               
Vardas2556          Pavarde2556         0.6               
Vardas2557          Pavarde2557         3                 
Vardas2558          Pavarde2558         1.2               
Vardas2559          Pavarde2559         1.8               
Vardas2560          Pavarde2560         1.8               
Vardas2561          Pavarde2561         4.2               
Vardas2562          Pavarde2562         3.6               
Vardas2563          Pavarde2563         4.8               
Vardas2564          Pavarde2564         1.2               
Vardas2565          Pavarde2565         3                 
Vardas2566          Pavarde2566         4.2               
Vardas2567          Pavarde2567         2.4               
Vardas2568          Pavarde2568         5.4               
Vardas2569          Pavarde2569         4.2               
Vardas2570          Pavarde2570         0.6               
Vardas2571          Pavarde2571         5.4               
Vardas2572          Pavarde2572         5.4               
Vardas2573          Pavarde2573         3                 
Vardas2574          Pavarde2574         0.6               
Vardas2575          Pavarde2575         3                 
Vardas2576          Pavarde2576         1.8               
Vardas2577          Pavarde2577         0.6               
Vardas2578          Pavarde2578         0.6               
Vardas2579          Pavarde2579         1.8               
Vardas2580          Pavarde2580         1.2               
Vardas2581          Pavarde2581         3                 
Vardas2582          Pavarde2582         2.4               
Vardas2583          Pavarde2583         0.6               
Vardas2584          Pavarde2584         2.4               
Vardas2585          Pavarde2585         0.6               
Vardas2586          Pavarde2586         4.2               
Vardas2587          Pavarde2587         3                 
Vardas2588          Pavarde2588         1.2               
Vardas2589          Pavarde2589         3.6               
Vardas2590          Pavarde2590         4.8               
Vardas2591          Pavarde2591         0.6               
Vardas2592          Pavarde2592         3.6               
Vardas2593          Pavarde2593         1.8               
Vardas2594          Pavarde2594         6                 
Vardas2595          Pavarde2595         4.8               
Vardas2596          Pavarde2596         1.8               
Vardas2597          Pavarde2597         3.6               
Vardas2598          Pavarde2598         4.8               
Vardas2599          Pavarde2599         0.6               
Vardas2600          Pavarde2600         3                 
Vardas2601          Pavarde2601         0.6               
Vardas2602          Pavarde2602         6                 
Vardas2603          Pavarde2603         2.4               
Vardas2604          Pavarde2604         3.6               
Vardas2605          Pavarde2605         4.8               
Vardas2606          Pavarde2606         1.8               
Vardas2607          Pavarde2607         3                 
Vardas2608          Pavarde2608         6                 
Vardas2609          Pavarde2609         1.2               
Vardas2610          Pavarde2610         5.4               
Vardas2611          Pavarde2611         3.6               
Vardas2612          Pavarde2612         3                 
Vardas2613          Pavarde2613         3                 
Vardas2614          Pavarde2614         3                 
Vardas2615          Pavarde2615         3                 
Vardas2616          Pavarde2616         5.4               
Vardas2617          Pavarde2617         4.2               
Vardas2618          Pavarde2618         4.8               
Vardas2619          Pavarde2619         2.4               
Vardas2620          Pavarde2620         4.2               
Vardas2621          Pavarde2621         0.6               
Vardas2622          Pavarde2622         1.2               
Vardas2623          Pavarde2623         5.4               
Vardas2624          Pavarde2624         3.6               
Vardas2625          Pavarde2625         3.6               
Vardas2626          Pavarde2626         0.6               
Vardas2627          Pavarde2627         2.4               
Vardas2628          Pavarde2628         3                 
Vardas2629          Pavarde2629         4.2               
Vardas2630          Pavarde2630         3                 
Vardas2631          Pavarde2631         3                 
Vardas2632          Pavarde2632         3.6               
Vardas2633          Pavarde2633         2.4               
Vardas2634          Pavarde2634         2.4               
Vardas2635          Pavarde2635         2.4               
Vardas2636          Pavarde2636         6                 
Vardas2637          Pavarde2637         6                 
Vardas2638          Pavarde2638         1.2               
Vardas2639          Pavarde2639         6                 
Vardas2640          Pavarde2640         1.2               
Vardas2641          Pavarde2641         4.2               
Vardas2642          Pavarde2642         6                 
Vardas2643          Pavarde2643         1.2               
Vardas2644          Pavarde2644         2.4               
Vardas2645          Pavarde2645         4.8               
Vardas2646          Pavarde2646         1.2               
Vardas2647          Pavarde2647         1.2               
Vardas2648          Pavarde2648         4.8               
Vardas2649          Pavarde2649         3                 
Vardas2650          Pavarde2650         0.6               
Vardas2651          Pavarde2651         0.6               
Vardas2652          Pavarde2652         1.8               
Vardas2653          Pavarde2653         3.6               
Vardas2654          Pavarde2654         4.8               
Vardas2655          Pavarde2655         5.4               
Vardas2656          Pavarde2656         0.6               
Vardas2657          Pavarde2657         3.6               
Vardas2658          Pavarde2658         4.2               
Vardas2659          Pavarde2659         0.6               
Vardas2660          Pavarde2660         4.8               
Vardas2661          Pavarde2661         6                 
Vardas2662          Pavarde2662         5.4               
Vardas2663          Pavarde2663         3.6               
Vardas2664          Pavarde2664         4.2               
Vardas2665          Pavarde2665         3.6               
Vardas2666          Pavarde2666         1.8               
Vardas2667          Pavarde2667         2.4               
Vardas2668          Pavarde2668         0.6               
Vardas2669          Pavarde2669         5.4               
Vardas2670          Pavarde2670         6                 
Vardas2671          Pavarde2671         5.4               
Vardas2672          Pavarde2672         1.8               
Vardas2673          Pavarde2673         2.4               
Vardas2674          Pavarde2674         4.2               
Vardas2675          Pavarde2675         1.8               
Vardas2676          Pavarde2676         6                 
Vardas2677          Pavarde2677         3                 
Vardas2678          Pavarde2678         4.2               
Vardas2679          Pavarde2679         2.4               
Vardas2680          Pavarde2680         1.8               
Vardas2681          Pavarde2681         0.6               
Vardas2682          Pavarde2682         3                 
Vardas2683          Pavarde2683         1.8               
Vardas2684          Pavarde2684         3                 
Vardas2685          Pavarde2685         6                 
Vardas2686          Pavarde2686         6                 
Vardas2687          Pavarde2687         4.8               
Vardas2688          Pavarde2688         2.4               
Vardas2689          Pavarde2689         2.4               
Vardas2690          Pavarde2690         0.6               
Vardas2691          Pavarde2691         5.4               
Vardas2692          Pavarde2692         4.2               
Vardas2693          Pavarde2693         6                 
Vardas2694          Pavarde2694         1.2               
Vardas2695          Pavarde2695         4.8               
Vardas2696          Pavarde2696         0.6               
Vardas2697          Pavarde2697         6                 
Vardas2698          Pavarde2698         6                 
Vardas2699          Pavarde2699         5.4               
Vardas2700          Pavarde2700         1.8               
Vardas2701          Pavarde2701         6                 
Vardas2702          Pavarde2702         4.2               
Vardas2703          Pavarde2703         1.2               
Vardas2704          Pavarde2704         3.6               
Vardas2705          Pavarde2705         1.2               
Vardas2706          Pavarde2706         4.8               
Vardas2707          Pavarde2707         6                 
Vardas2708          Pavarde2708         3                 
Vardas2709          Pavarde2709         6                 
Vardas2710          Pavarde2710         6                 
Vardas2711          Pavarde2711         6                 
Vardas2712          Pavarde2712         3                 
Vardas2713          Pavarde2713         0.6               
Vardas2714          Pavarde2714         5.4               
Vardas2715          Pavarde2715         1.8               
Vardas2716          Pavarde2716         0.6               
Vardas2717          Pavarde2717         3.6               
Vardas2718          Pavarde2718         4.2               
Vardas2719          Pavarde2719         5.4               
Vardas2720          Pavarde2720         0.6               
Vardas2721          Pavarde2721         6                 
Vardas2722          Pavarde2722         3                 
Vardas2723          Pavarde2723         2.4               
Vardas2724          Pavarde2724         4.2               
Vardas2725          Pavarde2725         2.4               
Vardas2726          Pavarde2726         5.4               
Vardas2727          Pavarde2727         2.4               
Vardas2728          Pavarde2728         4.8               
Vardas2729          Pavarde2729         3                 
Vardas2730          Pavarde2730         1.2               
Vardas2731          Pavarde2731         6                 
Vardas2732          Pavarde2732         4.8               
Vardas2733          Pavarde2733         6                 
Vardas2734          Pavarde2734         1.8               
Vardas2735          Pavarde2735         4.8               
Vardas2736          Pavarde2736         0.6               
Vardas2737          Pavarde2737         1.8               
Vardas2738          Pavarde2738         6                 
Vardas2739          Pavarde2739         1.8               
Vardas2740          Pavarde2740         3.6               
Vardas2741          Pavarde2741         0.6               
Vardas2742          Pavarde2742         1.2               
Vardas2743          Pavarde2743         2.4               
Vardas2744          Pavarde2744         1.2               
Vardas2745          Pavarde2745         6                 
Vardas2746          Pavarde2746         4.8               
Vardas2747          Pavarde2747         0.6               
Vardas2748          Pavarde2748         4.8               
Vardas2749          Pavarde2749         3                 
Vardas2750          Pavarde2750         3                 
Vardas2751          Pavarde2751         4.8               
Vardas2752          Pavarde2752         4.2               
Vardas2753          Pavarde2753         3.6               
Vardas2754          Pavarde2754         1.8               
Vardas2755          Pavarde2755         1.2               
Vardas2756          Pavarde2756         0.6               
Vardas2757          Pavarde2757         3.6               
Vardas2758          Pavarde2758         1.8               
Vardas2759          Pavarde2759         4.2               
Vardas2760          Pavarde2760         3                 
Vardas2761          Pavarde2761         5.4               
Vardas2762          Pavarde2762         1.2               
Vardas2763          Pavarde2763         4.2               
Vardas2764          Pavarde2764         3.6               
Vardas2765          Pavarde2765         3.6               
Vardas2766          Pavarde2766         2.4               
Vardas2767          Pavarde2767         4.2               
Vardas2768          Pavarde2768         5.4               
Vardas2769          Pavarde2769         1.2               
Vardas2770          Pavarde2770         1.2               
Vardas2771          Pavarde2771         2.4               
Vardas2772          Pavarde2772         2.4               
Vardas2773          Pavarde2773         6                 
Vardas2774          Pavarde2774         3.6               
Vardas2775          Pavarde2775         4.8               
Vardas2776          Pavarde2776         6                 
Vardas2777          Pavarde2777         2.4               
Vardas2778          Pavarde2778         4.2               
Vardas2779          Pavarde2779         4.2               
Vardas2780          Pavarde2780         3                 
Vardas2781          Pavarde2781         4.2               
Vardas2782          Pavarde2782         3                 
Vardas2783          Pavarde2783         0.6               
Vardas2784          Pavarde2784         4.8               
Vardas2785          Pavarde2785         3.6               
Vardas2786          Pavarde2786         4.2               
Vardas2787          Pavarde2787         2.4               
Vardas2788          Pavarde2788         1.8               
Vardas2789          Pavarde2789         6                 
Vardas2790          Pavarde2790         2.4               
Vardas2791          Pavarde2791         5.4               
Vardas2792          Pavarde2792         5.4               
Vardas2793          Pavarde2793         4.8               
Vardas2794          Pavarde2794         0.6               
Vardas2795          Pavarde2795         6                 
Vardas2796          Pavarde2796         1.8               
Vardas2797          Pavarde2797         4.8               
Vardas2798          Pavarde2798         5.4               
Vardas2799          Pavarde2799         4.2               
Vardas2800          Pavarde2800         6                 
Vardas2801          Pavarde2801         2.4               
Vardas2802          Pavarde2802         3                 
Vardas2803          Pavarde2803         6                 
Vardas2804          Pavarde2804         5.4               
Vardas2805          Pavarde2805         4.2               
Vardas2806          Pavarde2806         3.6               
Vardas2807          Pavarde2807         6                 
Vardas2808          Pavarde2808         4.2               
Vardas2809          Pavarde2809         4.2               
Vardas2810          Pavarde2810         1.2               
Vardas2811          Pavarde2811         3.6               
Vardas2812          Pavarde2812         4.8               
Vardas2813          Pavarde2813         0.6               
Vardas2814          Pavarde2814         4.2               
Vardas2815          Pavarde2815         0.6               
Vardas2816          Pavarde2816         4.8               
Vardas2817          Pavarde2817         0.6               
Vardas2818          Pavarde2818         6                 
Vardas2819          Pavarde2819         1.2               
Vardas2820          Pavarde2820         1.2               
Vardas2821          Pavarde2821         6                 
Vardas2822          Pavarde2822         1.2               
Vardas2823          Pavarde2823         5.4               
Vardas2824          Pavarde2824         4.2               
Vardas2825          Pavarde2825         4.2               
Vardas2826          Pavarde2826         2.4               
Vardas2827          Pavarde2827         2.4               
Vardas2828          Pavarde2828         3                 
Vardas2829          Pavarde2829         6                 
Vardas2830          Pavarde2830         4.2               
Vardas2831          Pavarde2831         4.2               
Vardas2832          Pavarde2832         6                 
Vardas2833          Pavarde2833         4.2               
Vardas2834          Pavarde2834         4.2               
Vardas2835          Pavarde2835         4.8               
Vardas2836          Pavarde2836         5.4               
Vardas2837          Pavarde2837         4.8               
Vardas2838          Pavarde2838         4.8               
Vardas2839          Pavarde2839         3.6               
Vardas2840          Pavarde2840         4.8               
Vardas2841          Pavarde2841         1.8               
Vardas2842          Pavarde2842         1.2               
Vardas2843          Pavarde2843         4.2               
Vardas2844          Pavarde2844         1.8               
Vardas2845          Pavarde2845         5.4               
Vardas2846          Pavarde2846         4.2               
Vardas2847          Pavarde2847         4.8               
Vardas2848          Pavarde2848         3.6               
Vardas2849          Pavarde2849         0.6               
Vardas2850          Pavarde2850         3.6               
Vardas2851          Pavarde2851         3.6               
Vardas2852          Pavarde2852         1.2               
Vardas2853          Pavarde2853         4.2               
Vardas2854          Pavarde2854         1.8               
Vardas2855          Pavarde2855         4.8               
Vardas2856          Pavarde2856         4.2               
Vardas2857          Pavarde2857         0.6               
Vardas2858          Pavarde2858         4.8               
Vardas2859          Pavarde2859         6                 
Vardas2860          Pavarde2860         2.4               
Vardas2861          Pavarde2861         1.2               
Vardas2862          Pavarde2862         3                 
Vardas2863          Pavarde2863         3.6               
Vardas2864          Pavarde2864         3.6               
Vardas2865          Pavarde2865         3                 
Vardas2866          Pavarde2866         0.6               
Vardas2867          Pavarde2867         3.6               
Vardas2868          Pavarde2868         4.2               
Vardas2869          Pavarde2869         2.4               
Vardas2870          Pavarde2870         4.8               
Vardas2871          Pavarde2871         2.4               
Vardas2872          Pavarde2872         3.6               
Vardas2873          Pavarde2873         5.4               
Vardas2874          Pavarde2874         5.4               
Vardas2875          Pavarde2875         0.6               
Vardas2876          Pavarde2876         2.4               
Vardas2877          Pavarde2877         1.2               
Vardas2878          Pavarde2878         6                 
Vardas2879          Pavarde2879         2.4               
Vardas2880          Pavarde2880         0.6               
Vardas2881          Pavarde2881         3.6               
Vardas2882          Pavarde2882         3                 
Vardas2883          Pavarde2883         4.2               
Vardas2884          Pavarde2884         3.6               
Vardas2885          Pavarde2885         0.6               
Vardas2886          Pavarde2886         3                 
Vardas2887          Pavarde2887         3                 
Vardas2888          Pavarde2888         3                 
Vardas2889          Pavarde2889         5.4               
Vardas2890          Pavarde2890         5.4               
Vardas2891          Pavarde2891         3                 
Vardas2892          Pavarde2892         1.2               
Vardas2893          Pavarde2893         0.6               
Vardas2894          Pavarde2894         1.8               
Vardas2895          Pavarde2895         5.4               
Vardas2896          Pavarde2896         4.8               
Vardas2897          Pavarde2897         6                 
Vardas2898          Pavarde2898         3                 
Vardas2899          Pavarde2899         4.8               
Vardas2900          Pavarde2900         4.2               
Vardas2901          Pavarde2901         1.8               
Vardas2902          Pavarde2902         3.6               
Vardas2903          Pavarde2903         3.6               
Vardas2904          Pavarde2904         3                 
Vardas2905          Pavarde2905         2.4               
Vardas2906          Pavarde2906         2.4               
Vardas2907          Pavarde2907         2.4               
Vardas2908          Pavarde2908         5.4               
Vardas2909          Pavarde2909         1.2               
Vardas2910          Pavarde2910         3                 
Vardas2911          Pavarde2911         1.2               
Vardas2912          Pavarde2912         3.6               
Vardas2913          Pavarde2913         4.2               
Vardas2914          Pavarde2914         1.2               
Vardas2915          Pavarde2915         4.8               
Vardas2916          Pavarde2916         3                 
Vardas2917          Pavarde2917         2.4               
Vardas2918          Pavarde2918         0.6               
Vardas2919          Pavarde2919         0.6               
Vardas2920          Pavarde2920         3.6               
Vardas2921          Pavarde2921         0.6               
Vardas2922          Pavarde2922         4.2               
Vardas2923          Pavarde2923         6                 
Vardas2924          Pavarde2924         2.4               
Vardas2925          Pavarde2925         2.4               
Vardas2926          Pavarde2926         5.4               
Vardas2927          Pavarde2927         1.8               
Vardas2928          Pavarde2928         5.4               
Vardas2929          Pavarde2929         6                 
Vardas2930          Pavarde2930         3                 
Vardas2931          Pavarde2931         2.4               
Vardas2932          Pavarde2932         1.8               
Vardas2933          Pavarde2933         5.4               
Vardas2934          Pavarde2934         1.2               
Vardas2935          Pavarde2935         5.4               
Vardas2936          Pavarde2936         5.4               
Vardas2937          Pavarde2937         4.2               
Vardas2938          Pavarde2938         1.2               
Vardas2939          Pavarde2939         6                 
Vardas2940          Pavarde2940         1.2               
Vardas2941          Pavarde2941         4.8               
Vardas2942          Pavarde2942         6                 
Vardas2943          Pavarde2943         3                 
Vardas2944          Pavarde2944         5.4               
Vardas2945          Pavarde2945         1.2               
Vardas2946          Pavarde2946         3                 
Vardas2947          Pavarde2947         5.4               
Vardas2948          Pavarde2948         1.2               
Vardas2949          Pavarde2949         4.8               
Vardas2950          Pavarde2950         4.8               
Vardas2951          Pavarde2951         3.6               
Vardas2952          Pavarde2952         6                 
Vardas2953          Pavarde2953         3.6               
Vardas2954          Pavarde2954         0.6               
Vardas2955          Pavarde2955         1.2               
Vardas2956          Pavarde2956         5.4               
Vardas2957          Pavarde2957         3                 
Vardas2958          Pavarde2958         1.8               
Vardas2959          Pavarde2959         3.6               
Vardas2960          Pavarde2960         5.4               
Vardas2961          Pavarde2961         1.8               
Vardas2962          Pavarde2962         2.4               
Vardas2963          Pavarde2963         4.8               
Vardas2964          Pavarde2964         1.2               
Vardas2965          Pavarde2965         4.8               
Vardas2966          Pavarde2966         3.6               
Vardas2967          Pavarde2967         2.4               
Vardas2968          Pavarde2968         3.6               
Vardas2969          Pavarde2969         3                 
Vardas2970          Pavarde2970         2.4               
Vardas2971          Pavarde2971         4.8               
Vardas2972          Pavarde2972         1.8               
Vardas2973          Pavarde2973         0.6               
Vardas2974          Pavarde2974         3                 
Vardas2975          Pavarde2975         2.4               
Vardas2976          Pavarde2976         1.2               
Vardas2977          Pavarde2977         4.8               
Vardas2978          Pavarde2978         1.8               
Vardas2979          Pavarde2979         5.4               
Vardas2980          Pavarde2980         4.8               
Vardas2981          Pavarde2981         4.2               
Vardas2982          Pavarde2982         0.6               
Vardas2983          Pavarde2983         2.4               
Vardas2984          Pavarde2984         4.2               
Vardas2985          Pavarde2985         3                 
Vardas2986          Pavarde2986         4.2               
Vardas2987          Pavarde2987         6                 
Vardas2988          Pavarde2988         5.4               
Vardas2989          Pavarde2989         3.6               
Vardas2990          Pavarde2990         3                 
Vardas2991          Pavarde2991         5.4               
Vardas2992          Pavarde2992         6                 
Vardas2993          Pavarde2993         1.2               
Vardas2994          Pavarde2994         0.6               
Vardas2995          Pavarde2995         6                 
Vardas2996          Pavarde2996         3.6               
Vardas2997          Pavarde2997         1.2               
Vardas2998          Pavarde2998         4.2               
Vardas2999          Pavarde2999         0.6               
Vardas3000          Pavarde3000         1.2               
Vardas3001          Pavarde3001         4.2               
Vardas3002          Pavarde3002         2.4               
Vardas3003          Pavarde3003         4.8               
Vardas3004          Pavarde3004         0.6               
Vardas3005          Pavarde3005         4.8               
Vardas3006          Pavarde3006         2.4               
Vardas3007          Pavarde3007         3                 
Vardas3008          Pavarde3008         0.6               
Vardas3009          Pavarde3009         5.4               
Vardas3010          Pavarde3010         2.4               
Vardas3011          Pavarde3011         1.8               
Vardas3012          Pavarde3012         4.8               
Vardas3013          Pavarde3013         4.2               
Vardas3014          Pavarde3014         3.6               
Vardas3015          Pavarde3015         4.2               
Vardas3016          Pavarde3016         5.4               
Vardas3017          Pavarde3017         0.6               
Vardas3018          Pavarde3018         6                 
Vardas3019          Pavarde3019         2.4               
Vardas3020          Pavarde3020         1.2               
Vardas3021          Pavarde3021         4.8               
Vardas3022          Pavarde3022         0.6               
Vardas3023          Pavarde3023         4.2               
Vardas3024          Pavarde3024         1.2               
Vardas3025          Pavarde3025         4.2               
Vardas3026          Pavarde3026         3                 
Vardas3027          Pavarde3027         3                 
Vardas3028          Pavarde3028         5.4               
Vardas3029          Pavarde3029         4.8               
Vardas3030          Pavarde3030         3.6               
Vardas3031          Pavarde3031         4.2               
Vardas3032          Pavarde3032         2.4               
Vardas3033          Pavarde3033         1.2               
Vardas3034          Pavarde3034         1.8               
Vardas3035          Pavarde3035         5.4               
Vardas3036          Pavarde3036         4.2               
Vardas3037          Pavarde3037         0.6               
Vardas3038          Pavarde3038         4.8               
Vardas3039          Pavarde3039         4.8               
Vardas3040          Pavarde3040         4.8               
Vardas3041          Pavarde3041         3                 
Vardas3042          Pavarde3042         2.4               
Vardas3043          Pavarde3043         4.2               
Vardas3044          Pavarde3044         4.2               
Vardas3045          Pavarde3045         4.8               
Vardas3046          Pavarde3046         4.8               
Vardas3047          Pavarde3047         5.4               
Vardas3048          Pavarde3048         3.6               
Vardas3049          Pavarde3049         4.2               
Vardas3050          Pavarde3050         3                 
Vardas3051          Pavarde3051         3.6               
Vardas3052          Pavarde3052         3                 
Vardas3053          Pavarde3053         3.6               
Vardas3054          Pavarde3054         2.4               
Vardas3055          Pavarde3055         4.8               
Vardas3056          Pavarde3056         0.6               
Vardas3057          Pavarde3057         1.2               
Vardas3058          Pavarde3058         4.2               
Vardas3059          Pavarde3059         6                 
Vardas3060          Pavarde3060         4.2               
Vardas3061          Pavarde3061         3                 
Vardas3062          Pavarde3062         5.4               
Vardas3063          Pavarde3063         0.6               
Vardas3064          Pavarde3064         1.2               
Vardas3065          Pavarde3065         4.8               
Vardas3066          Pavarde3066         3                 
Vardas3067          Pavarde3067         2.4               
Vardas3068          Pavarde3068         1.2               
Vardas3069          Pavarde3069         6                 
Vardas3070          Pavarde3070         0.6               
Vardas3071          Pavarde3071         4.8               
Vardas3072          Pavarde3072         6                 
Vardas3073          Pavarde3073         4.2               
Vardas3074          Pavarde3074         1.2               
Vardas3075          Pavarde3075         3.6               
Vardas3076          Pavarde3076         4.8               
Vardas3077          Pavarde3077         4.8               
Vardas3078          Pavarde3078         3.6               
Vardas3079          Pavarde3079         4.8               
Vardas3080          Pavarde3080         3.6               
Vardas3081          Pavarde3081         4.8               
Vardas3082          Pavarde3082         3                 
Vardas3083          Pavarde3083         5.4               
Vardas3084          Pavarde3084         1.2               
Vardas3085          Pavarde3085         4.8               
Vardas3086          Pavarde3086         0.6               
Vardas3087          Pavarde3087         6                 
Vardas3088          Pavarde3088         4.2               
Vardas3089          Pavarde3089         3.6               
Vardas3090          Pavarde3090         0.6               
Vardas3091          Pavarde3091         0.6               
Vardas3092          Pavarde3092         4.8               
Vardas3093          Pavarde3093         2.4               
Vardas3094          Pavarde3094         2.4               
Vardas3095          Pavarde3095         4.8               
Vardas3096          Pavarde3096         4.8               
Vardas3097          Pavarde3097         2.4               
Vardas3098          Pavarde3098         1.2               
Vardas3099          Pavarde3099         1.8               
Vardas3100          Pavarde3100         1.8               
Vardas3101          Pavarde3101         4.2               
Vardas3102          Pavarde3102         0.6               
Vardas3103          Pavarde3103         3.6               
Vardas3104          Pavarde3104         1.2               
Vardas3105          Pavarde3105         1.8               
Vardas3106          Pavarde3106         4.2               
Vardas3107          Pavarde3107         5.4               
Vardas3108          Pavarde3108         2.4               
Vardas3109          Pavarde3109         1.8               
Vardas3110          Pavarde3110         3.6               
Vardas3111          Pavarde3111         3.6               
Vardas3112          Pavarde3112         4.2               
Vardas3113          Pavarde3113         6                 
Vardas3114          Pavarde3114         4.8               
Vardas3115          Pavarde3115         0.6               
Vardas3116          Pavarde3116         3                 
Vardas3117          Pavarde3117         1.2               
Vardas3118          Pavarde3118         0.6               
Vardas3119          Pavarde3119         1.2               
Vardas3120          Pavarde3120         1.2               
Vardas3121          Pavarde3121         4.2               
Vardas3122          Pavarde3122         1.8               
Vardas3123          Pavarde3123         4.8               
Vardas3124          Pavarde3124         4.2               
Vardas3125          Pavarde3125         5.4               
Vardas3126          Pavarde3126         4.8               
Vardas3127          Pavarde3127         5.4               
Vardas3128          Pavarde3128         3                 
Vardas3129          Pavarde3129         1.2               
Vardas3130          Pavarde3130         1.8               
Vardas3131          Pavarde3131         1.8               
Vardas3132          Pavarde3132         1.2               
Vardas3133          Pavarde3133         4.8               
Vardas3134          Pavarde3134         3.6               
Vardas3135          Pavarde3135         0.6               
Vardas3136          Pavarde3136         5.4               
Vardas3137          Pavarde3137         4.8               
Vardas3138          Pavarde3138         4.2               
Vardas3139          Pavarde3139         2.4               
Vardas3140          Pavarde3140         5.4               
Vardas3141          Pavarde3141         0.6               
Vardas3142          Pavarde3142         5.4               
Vardas3143          Pavarde3143         4.2               
Vardas3144          Pavarde3144         1.8               
Vardas3145          Pavarde3145         4.2               
Vardas3146          Pavarde3146         2.4               
Vardas3147          Pavarde3147         3                 
Vardas3148          Pavarde3148         1.8               
Vardas3149          Pavarde3149         4.2               
Vardas3150          Pavarde3150         3.6               
Vardas3151          Pavarde3151         5.4               
Vardas3152          Pavarde3152         1.8               
Vardas3153          Pavarde3153         3.6               
Vardas3154          Pavarde3154         2.4               
Vardas3155          Pavarde3155         5.4               
Vardas3156          Pavarde3156         0.6               
Vardas3157          Pavarde3157         0.6               
Vardas3158          Pavarde3158         6                 
Vardas3159          Pavarde3159         3                 
Vardas3160          Pavarde3160         6                 
Vardas3161          Pavarde3161         3                 
Vardas3162          Pavarde3162         3                 
Vardas3163          Pavarde3163         4.8               
Vardas3164          Pavarde3164         5.4               
Vardas3165          Pavarde3165         1.2               
Vardas3166          Pavarde3166         2.4               
Vardas3167          Pavarde3167         1.2               
Vardas3168          Pavarde3168         1.2               
Vardas3169          Pavarde3169         4.2               
Vardas3170          Pavarde3170         4.2               
Vardas3171          Pavarde3171         1.2               
Vardas3172          Pavarde3172         2.4               
Vardas3173          Pavarde3173         3                 
Vardas3174          Pavarde3174         5.4               
Vardas3175          Pavarde3175         4.8               
Vardas3176          Pavarde3176         6                 
Vardas3177          Pavarde3177         3                 
Vardas3178          Pavarde3178         1.8               
Vardas3179          Pavarde3179         1.2               
Vardas3180          Pavarde3180         1.8               
Vardas3181          Pavarde3181         2.4               
Vardas3182          Pavarde3182         4.8               
Vardas3183          Pavarde3183         3.6               
Vardas3184          Pavarde3184         4.2               
Vardas3185          Pavarde3185         4.2               
Vardas3186          Pavarde3186         4.2               
Vardas3187          Pavarde3187         0.6               
Vardas3188          Pavarde3188         3                 
Vardas3189          Pavarde3189         2.4               
Vardas3190          Pavarde3190         5.4               
Vardas3191          Pavarde3191         6                 
Vardas3192          Pavarde3192         3.6               
