Vardas              Pavarde             Gal.(vid)           
Vardas777           Pavarde777          8.12              
Vardas778           Pavarde778          6.48              
Vardas779           Pavarde779          7.44              
Vardas780           Pavarde780          1.84              
Vardas781           Pavarde781          4.16              
Vardas782           Pavarde782          5.32              
Vardas783           Pavarde783          6.72              
Vardas784           Pavarde784          6.76              
Vardas785           Pavarde785          4.88              
Vardas786           Pavarde786          1.28              
Vardas787           Pavarde787          3.2               
Vardas788           Pavarde788          3.68              
Vardas789           Pavarde789          5.72              
Vardas790           Pavarde790          3.84              
Vardas791           Pavarde791          5.28              
Vardas792           Pavarde792          4.56              
Vardas793           Pavarde793          0.8               
Vardas794           Pavarde794          3.96              
Vardas795           Pavarde795          3.12              
Vardas796           Pavarde796          6.28              
Vardas797           Pavarde797          3                 
Vardas798           Pavarde798          4.4               
Vardas799           Pavarde799          5.36              
Vardas800           Pavarde800          4                 
Vardas801           Pavarde801          6.12              
Vardas802           Pavarde802          0.96              
Vardas803           Pavarde803          2.76              
Vardas804           Pavarde804          5.68              
Vardas805           Pavarde805          3.84              
Vardas806           Pavarde806          4.64              
Vardas807           Pavarde807          5.2               
Vardas808           Pavarde808          6.48              
Vardas809           Pavarde809          2.16              
Vardas810           Pavarde810          7.16              
Vardas811           Pavarde811          3.84              
Vardas812           Pavarde812          7.56              
Vardas813           Pavarde813          7.04              
Vardas814           Pavarde814          5.48              
Vardas815           Pavarde815          4.48              
Vardas816           Pavarde816          7.68              
Vardas817           Pavarde817          3.32              
Vardas818           Pavarde818          5.84              
Vardas819           Pavarde819          4.96              
Vardas820           Pavarde820          6.8               
Vardas821           Pavarde821          3.24              
Vardas822           Pavarde822          3.04              
Vardas823           Pavarde823          1.28              
Vardas824           Pavarde824          7.92              
Vardas825           Pavarde825          2.48              
Vardas826           Pavarde826          5.28              
Vardas827           Pavarde827          2.56              
Vardas828           Pavarde828          3.4               
Vardas829           Pavarde829          7.08              
Vardas830           Pavarde830          6.88              
Vardas831           Pavarde831          7                 
Vardas832           Pavarde832          6.76              
Vardas833           Pavarde833          4.72              
Vardas834           Pavarde834          8.4               
Vardas835           Pavarde835          6.88              
Vardas836           Pavarde836          4.92              
Vardas837           Pavarde837          1.6               
Vardas838           Pavarde838          8.08              
Vardas839           Pavarde839          4.44              
Vardas840           Pavarde840          5.08              
Vardas841           Pavarde841          6.44              
Vardas842           Pavarde842          4.2               
Vardas843           Pavarde843          4.84              
Vardas844           Pavarde844          7.04              
Vardas845           Pavarde845          2.92              
Vardas846           Pavarde846          4.4               
Vardas847           Pavarde847          6.04              
Vardas848           Pavarde848          2.48              
Vardas849           Pavarde849          4.2               
Vardas850           Pavarde850          4.04              
Vardas851           Pavarde851          5.68              
Vardas852           Pavarde852          4.76              
Vardas853           Pavarde853          4                 
Vardas854           Pavarde854          6.16              
Vardas855           Pavarde855          7.76              
Vardas856           Pavarde856          2.68              
Vardas857           Pavarde857          7.44              
Vardas858           Pavarde858          6.96              
Vardas859           Pavarde859          2.28              
Vardas860           Pavarde860          5.6               
Vardas861           Pavarde861          3.16              
Vardas862           Pavarde862          6.12              
Vardas863           Pavarde863          7.84              
Vardas864           Pavarde864          3.68              
Vardas865           Pavarde865          1.04              
Vardas866           Pavarde866          8.8               
Vardas867           Pavarde867          5.32              
Vardas868           Pavarde868          8.16              
Vardas869           Pavarde869          3.08              
Vardas870           Pavarde870          7.8               
Vardas871           Pavarde871          3.48              
Vardas872           Pavarde872          1.76              
Vardas873           Pavarde873          1.44              
Vardas874           Pavarde874          4.2               
Vardas875           Pavarde875          6.68              
Vardas876           Pavarde876          2.76              
Vardas877           Pavarde877          7.16              
Vardas878           Pavarde878          4.12              
Vardas879           Pavarde879          4.24              
Vardas880           Pavarde880          2.52              
Vardas881           Pavarde881          6.12              
Vardas882           Pavarde882          5.12              
Vardas883           Pavarde883          0.56              
Vardas884           Pavarde884          6.96              
Vardas885           Pavarde885          7.84              
Vardas886           Pavarde886          2.6               
Vardas887           Pavarde887          2.04              
Vardas888           Pavarde888          2.36              
Vardas889           Pavarde889          6.84              
Vardas890           Pavarde890          5.44              
Vardas891           Pavarde891          3.76              
Vardas892           Pavarde892          1.2               
Vardas893           Pavarde893          3.92              
Vardas894           Pavarde894          4.92              
Vardas895           Pavarde895          6.4               
Vardas896           Pavarde896          7.56              
Vardas897           Pavarde897          5.84              
Vardas898           Pavarde898          2                 
Vardas899           Pavarde899          4.48              
Vardas900           Pavarde900          2.8               
Vardas901           Pavarde901          4.76              
Vardas902           Pavarde902          7.08              
Vardas903           Pavarde903          6.12              
Vardas904           Pavarde904          5.08              
Vardas905           Pavarde905          5.92              
Vardas906           Pavarde906          4.44              
Vardas907           Pavarde907          5.16              
Vardas908           Pavarde908          4.16              
Vardas909           Pavarde909          1.88              
Vardas910           Pavarde910          7.64              
Vardas911           Pavarde911          8                 
Vardas912           Pavarde912          3.76              
Vardas913           Pavarde913          3.84              
Vardas914           Pavarde914          7.32              
Vardas915           Pavarde915          5.6               
Vardas916           Pavarde916          7.84              
Vardas917           Pavarde917          6.64              
Vardas918           Pavarde918          7.32              
Vardas919           Pavarde919          5.64              
Vardas920           Pavarde920          7.36              
Vardas921           Pavarde921          1.28              
Vardas922           Pavarde922          7.4               
Vardas923           Pavarde923          3.12              
Vardas924           Pavarde924          8.56              
Vardas925           Pavarde925          2.64              
Vardas926           Pavarde926          3.52              
Vardas927           Pavarde927          3                 
Vardas928           Pavarde928          2.48              
Vardas929           Pavarde929          3.16              
Vardas930           Pavarde930          4.36              
Vardas931           Pavarde931          4.72              
Vardas932           Pavarde932          4.8               
Vardas933           Pavarde933          4.84              
Vardas934           Pavarde934          1.28              
Vardas935           Pavarde935          7.52              
Vardas936           Pavarde936          3.44              
Vardas937           Pavarde937          8.24              
Vardas938           Pavarde938          3.64              
Vardas939           Pavarde939          4.24              
Vardas940           Pavarde940          4.08              
Vardas941           Pavarde941          7.68              
Vardas942           Pavarde942          7.32              
Vardas943           Pavarde943          3.92              
Vardas944           Pavarde944          6.92              
Vardas945           Pavarde945          2.2               
Vardas946           Pavarde946          7.48              
Vardas947           Pavarde947          3.04              
Vardas948           Pavarde948          6.52              
Vardas949           Pavarde949          8.08              
Vardas950           Pavarde950          7.92              
Vardas951           Pavarde951          8.64              
Vardas952           Pavarde952          5.08              
Vardas953           Pavarde953          5.6               
Vardas954           Pavarde954          3.36              
Vardas955           Pavarde955          3                 
Vardas956           Pavarde956          4.96              
Vardas957           Pavarde957          7.44              
Vardas958           Pavarde958          4.24              
Vardas959           Pavarde959          7.6               
Vardas960           Pavarde960          4.2               
Vardas961           Pavarde961          5.48              
Vardas962           Pavarde962          2.16              
Vardas963           Pavarde963          3.36              
Vardas964           Pavarde964          6.56              
Vardas965           Pavarde965          4.4               
Vardas966           Pavarde966          6.32              
Vardas967           Pavarde967          3.12              
Vardas968           Pavarde968          6.84              
Vardas969           Pavarde969          3.72              
Vardas970           Pavarde970          6.88              
Vardas971           Pavarde971          3.04              
Vardas972           Pavarde972          3.52              
Vardas973           Pavarde973          6.24              
Vardas974           Pavarde974          8.04              
Vardas975           Pavarde975          7.64              
Vardas976           Pavarde976          1.96              
Vardas977           Pavarde977          4.56              
Vardas978           Pavarde978          5.24              
Vardas979           Pavarde979          2.24              
Vardas980           Pavarde980          3.52              
Vardas981           Pavarde981          5.76              
Vardas982           Pavarde982          2.64              
Vardas983           Pavarde983          3.88              
Vardas984           Pavarde984          2.4               
Vardas985           Pavarde985          8.68              
Vardas986           Pavarde986          4.4               
Vardas987           Pavarde987          1.68              
Vardas988           Pavarde988          3.16              
Vardas989           Pavarde989          2.32              
Vardas990           Pavarde990          8.96              
Vardas991           Pavarde991          3.76              
Vardas992           Pavarde992          1.6               
Vardas993           Pavarde993          6.16              
Vardas994           Pavarde994          1.84              
Vardas995           Pavarde995          6.32              
Vardas996           Pavarde996          3.68              
Vardas997           Pavarde997          7                 
Vardas998           Pavarde998          2.8               
Vardas999           Pavarde999          3.36              
Vardas1000          Pavarde1000         1.92              
