Vardas              Pavarde             Gal.(vid)           
Vardas1458          Pavarde1458         6.72              
Vardas1459          Pavarde1459         3.68              
Vardas1460          Pavarde1460         6.12              
Vardas1461          Pavarde1461         4.24              
Vardas1462          Pavarde1462         3.36              
Vardas1463          Pavarde1463         3                 
Vardas1464          Pavarde1464         1.44              
Vardas1465          Pavarde1465         2.64              
Vardas1466          Pavarde1466         8                 
Vardas1467          Pavarde1467         4.6               
Vardas1468          Pavarde1468         3.48              
Vardas1469          Pavarde1469         3.08              
Vardas1470          Pavarde1470         8.64              
Vardas1471          Pavarde1471         2                 
Vardas1472          Pavarde1472         6.48              
Vardas1473          Pavarde1473         5.32              
Vardas1474          Pavarde1474         4.56              
Vardas1475          Pavarde1475         8.32              
Vardas1476          Pavarde1476         7.4               
Vardas1477          Pavarde1477         1.76              
Vardas1478          Pavarde1478         7.36              
Vardas1479          Pavarde1479         2.76              
Vardas1480          Pavarde1480         2.36              
Vardas1481          Pavarde1481         2.16              
Vardas1482          Pavarde1482         2.56              
Vardas1483          Pavarde1483         1.76              
Vardas1484          Pavarde1484         5.68              
Vardas1485          Pavarde1485         3                 
Vardas1486          Pavarde1486         7.8               
Vardas1487          Pavarde1487         6.88              
Vardas1488          Pavarde1488         3.44              
Vardas1489          Pavarde1489         3.52              
Vardas1490          Pavarde1490         8.96              
Vardas1491          Pavarde1491         4.72              
Vardas1492          Pavarde1492         3.84              
Vardas1493          Pavarde1493         5.08              
Vardas1494          Pavarde1494         5.56              
Vardas1495          Pavarde1495         4.64              
Vardas1496          Pavarde1496         4.64              
Vardas1497          Pavarde1497         6.76              
Vardas1498          Pavarde1498         6.52              
Vardas1499          Pavarde1499         3.16              
Vardas1500          Pavarde1500         1.44              
Vardas1501          Pavarde1501         7.64              
Vardas1502          Pavarde1502         4.08              
Vardas1503          Pavarde1503         7.44              
Vardas1504          Pavarde1504         6.16              
Vardas1505          Pavarde1505         4.76              
Vardas1506          Pavarde1506         4.88              
Vardas1507          Pavarde1507         2.08              
Vardas1508          Pavarde1508         3.08              
Vardas1509          Pavarde1509         3.4               
Vardas1510          Pavarde1510         3.08              
Vardas1511          Pavarde1511         5.84              
Vardas1512          Pavarde1512         6.4               
Vardas1513          Pavarde1513         7.12              
Vardas1514          Pavarde1514         8.04              
Vardas1515          Pavarde1515         2.6               
Vardas1516          Pavarde1516         2.08              
Vardas1517          Pavarde1517         2.88              
Vardas1518          Pavarde1518         4.08              
Vardas1519          Pavarde1519         7.64              
Vardas1520          Pavarde1520         6                 
Vardas1521          Pavarde1521         2.44              
Vardas1522          Pavarde1522         6.92              
Vardas1523          Pavarde1523         5.68              
Vardas1524          Pavarde1524         8.04              
Vardas1525          Pavarde1525         3.48              
Vardas1526          Pavarde1526         5.6               
Vardas1527          Pavarde1527         7.84              
Vardas1528          Pavarde1528         5.16              
Vardas1529          Pavarde1529         7.36              
Vardas1530          Pavarde1530         1.36              
Vardas1531          Pavarde1531         3.16              
Vardas1532          Pavarde1532         3.96              
Vardas1533          Pavarde1533         6.2               
Vardas1534          Pavarde1534         2.4               
Vardas1535          Pavarde1535         5.6               
Vardas1536          Pavarde1536         1.2               
Vardas1537          Pavarde1537         2.64              
Vardas1538          Pavarde1538         7.44              
Vardas1539          Pavarde1539         4.92              
Vardas1540          Pavarde1540         5.88              
Vardas1541          Pavarde1541         8.16              
Vardas1542          Pavarde1542         5.64              
Vardas1543          Pavarde1543         4.16              
Vardas1544          Pavarde1544         8.64              
Vardas1545          Pavarde1545         6.68              
Vardas1546          Pavarde1546         3.32              
Vardas1547          Pavarde1547         7.84              
Vardas1548          Pavarde1548         2.96              
Vardas1549          Pavarde1549         1.36              
Vardas1550          Pavarde1550         2.32              
Vardas1551          Pavarde1551         1.92              
Vardas1552          Pavarde1552         5.08              
Vardas1553          Pavarde1553         5.76              
Vardas1554          Pavarde1554         4.68              
Vardas1555          Pavarde1555         6.56              
Vardas1556          Pavarde1556         8.16              
Vardas1557          Pavarde1557         6.2               
Vardas1558          Pavarde1558         7.64              
Vardas1559          Pavarde1559         3.36              
Vardas1560          Pavarde1560         2.92              
Vardas1561          Pavarde1561         6.96              
Vardas1562          Pavarde1562         7.84              
Vardas1563          Pavarde1563         3.56              
Vardas1564          Pavarde1564         8.08              
Vardas1565          Pavarde1565         7.48              
Vardas1566          Pavarde1566         4.72              
Vardas1567          Pavarde1567         4.76              
Vardas1568          Pavarde1568         7.04              
Vardas1569          Pavarde1569         6.6               
Vardas1570          Pavarde1570         2.56              
Vardas1571          Pavarde1571         2.4               
Vardas1572          Pavarde1572         8.16              
Vardas1573          Pavarde1573         6.84              
Vardas1574          Pavarde1574         2.84              
Vardas1575          Pavarde1575         8.64              
Vardas1576          Pavarde1576         3.32              
Vardas1577          Pavarde1577         4.28              
Vardas1578          Pavarde1578         8.32              
Vardas1579          Pavarde1579         6.72              
Vardas1580          Pavarde1580         1.88              
Vardas1581          Pavarde1581         2.08              
Vardas1582          Pavarde1582         6.68              
Vardas1583          Pavarde1583         4.48              
Vardas1584          Pavarde1584         5.48              
Vardas1585          Pavarde1585         5.88              
Vardas1586          Pavarde1586         2.68              
Vardas1587          Pavarde1587         6.88              
Vardas1588          Pavarde1588         2.8               
Vardas1589          Pavarde1589         4.08              
Vardas1590          Pavarde1590         7.76              
Vardas1591          Pavarde1591         2.72              
Vardas1592          Pavarde1592         5.8               
Vardas1593          Pavarde1593         4.96              
Vardas1594          Pavarde1594         4.24              
Vardas1595          Pavarde1595         4                 
Vardas1596          Pavarde1596         4.04              
Vardas1597          Pavarde1597         6.96              
Vardas1598          Pavarde1598         3.28              
Vardas1599          Pavarde1599         2.88              
Vardas1600          Pavarde1600         4.32              
Vardas1601          Pavarde1601         7.16              
Vardas1602          Pavarde1602         6.36              
Vardas1603          Pavarde1603         3.36              
Vardas1604          Pavarde1604         6.64              
Vardas1605          Pavarde1605         7.48              
Vardas1606          Pavarde1606         2.56              
Vardas1607          Pavarde1607         7.36              
Vardas1608          Pavarde1608         2.6               
Vardas1609          Pavarde1609         6.16              
Vardas1610          Pavarde1610         5.96              
Vardas1611          Pavarde1611         7.32              
Vardas1612          Pavarde1612         7.6               
Vardas1613          Pavarde1613         5.96              
Vardas1614          Pavarde1614         8.24              
Vardas1615          Pavarde1615         2.24              
Vardas1616          Pavarde1616         4.52              
Vardas1617          Pavarde1617         4.96              
Vardas1618          Pavarde1618         6.16              
Vardas1619          Pavarde1619         6.28              
Vardas1620          Pavarde1620         5.32              
Vardas1621          Pavarde1621         6.64              
Vardas1622          Pavarde1622         1.28              
Vardas1623          Pavarde1623         2.32              
Vardas1624          Pavarde1624         6.4               
Vardas1625          Pavarde1625         5.92              
Vardas1626          Pavarde1626         4.84              
Vardas1627          Pavarde1627         7.76              
Vardas1628          Pavarde1628         2.64              
Vardas1629          Pavarde1629         3.28              
Vardas1630          Pavarde1630         8                 
Vardas1631          Pavarde1631         8.88              
Vardas1632          Pavarde1632         3.08              
Vardas1633          Pavarde1633         6.8               
Vardas1634          Pavarde1634         5.08              
Vardas1635          Pavarde1635         5.6               
Vardas1636          Pavarde1636         4.96              
Vardas1637          Pavarde1637         7.72              
Vardas1638          Pavarde1638         4.88              
Vardas1639          Pavarde1639         3.52              
Vardas1640          Pavarde1640         6.24              
Vardas1641          Pavarde1641         8.12              
Vardas1642          Pavarde1642         2.64              
Vardas1643          Pavarde1643         5.64              
Vardas1644          Pavarde1644         2.16              
Vardas1645          Pavarde1645         7                 
Vardas1646          Pavarde1646         2.48              
Vardas1647          Pavarde1647         1.36              
Vardas1648          Pavarde1648         5.12              
Vardas1649          Pavarde1649         4.52              
Vardas1650          Pavarde1650         5.52              
Vardas1651          Pavarde1651         3.92              
Vardas1652          Pavarde1652         3.36              
Vardas1653          Pavarde1653         3.12              
Vardas1654          Pavarde1654         6.16              
Vardas1655          Pavarde1655         4.08              
Vardas1656          Pavarde1656         7.68              
Vardas1657          Pavarde1657         8.4               
Vardas1658          Pavarde1658         4.92              
Vardas1659          Pavarde1659         2.8               
Vardas1660          Pavarde1660         5.52              
Vardas1661          Pavarde1661         2.72              
Vardas1662          Pavarde1662         5.96              
Vardas1663          Pavarde1663         6.92              
Vardas1664          Pavarde1664         2.88              
Vardas1665          Pavarde1665         6.48              
Vardas1666          Pavarde1666         6.8               
Vardas1667          Pavarde1667         2.04              
Vardas1668          Pavarde1668         7.48              
Vardas1669          Pavarde1669         5.92              
Vardas1670          Pavarde1670         8.64              
Vardas1671          Pavarde1671         6.4               
Vardas1672          Pavarde1672         2.2               
Vardas1673          Pavarde1673         7.6               
Vardas1674          Pavarde1674         8.96              
Vardas1675          Pavarde1675         7.92              
Vardas1676          Pavarde1676         7.12              
Vardas1677          Pavarde1677         3.8               
Vardas1678          Pavarde1678         5.4               
Vardas1679          Pavarde1679         3.4               
Vardas1680          Pavarde1680         1.76              
Vardas1681          Pavarde1681         7.28              
Vardas1682          Pavarde1682         7.08              
Vardas1683          Pavarde1683         3.6               
Vardas1684          Pavarde1684         6.52              
Vardas1685          Pavarde1685         4.88              
Vardas1686          Pavarde1686         6.64              
Vardas1687          Pavarde1687         8.16              
Vardas1688          Pavarde1688         6                 
Vardas1689          Pavarde1689         6.52              
Vardas1690          Pavarde1690         1.52              
Vardas1691          Pavarde1691         8.08              
Vardas1692          Pavarde1692         7.44              
Vardas1693          Pavarde1693         5.16              
Vardas1694          Pavarde1694         8.16              
Vardas1695          Pavarde1695         6.8               
Vardas1696          Pavarde1696         4.2               
Vardas1697          Pavarde1697         5.32              
Vardas1698          Pavarde1698         7.48              
Vardas1699          Pavarde1699         2.68              
Vardas1700          Pavarde1700         5.08              
Vardas1701          Pavarde1701         4.8               
Vardas1702          Pavarde1702         6.04              
Vardas1703          Pavarde1703         2.84              
Vardas1704          Pavarde1704         3.8               
Vardas1705          Pavarde1705         6.08              
Vardas1706          Pavarde1706         5.72              
Vardas1707          Pavarde1707         7.52              
Vardas1708          Pavarde1708         2.64              
Vardas1709          Pavarde1709         6.44              
Vardas1710          Pavarde1710         6.16              
Vardas1711          Pavarde1711         2.48              
Vardas1712          Pavarde1712         5.76              
Vardas1713          Pavarde1713         2.16              
Vardas1714          Pavarde1714         6.36              
Vardas1715          Pavarde1715         1.88              
Vardas1716          Pavarde1716         7                 
Vardas1717          Pavarde1717         7.08              
Vardas1718          Pavarde1718         3.04              
Vardas1719          Pavarde1719         2.2               
Vardas1720          Pavarde1720         8.28              
Vardas1721          Pavarde1721         7.4               
Vardas1722          Pavarde1722         5.04              
Vardas1723          Pavarde1723         2.88              
Vardas1724          Pavarde1724         5.72              
Vardas1725          Pavarde1725         7.64              
Vardas1726          Pavarde1726         8.36              
Vardas1727          Pavarde1727         7.4               
Vardas1728          Pavarde1728         5.56              
Vardas1729          Pavarde1729         3.76              
Vardas1730          Pavarde1730         3.64              
Vardas1731          Pavarde1731         7.12              
Vardas1732          Pavarde1732         2.32              
Vardas1733          Pavarde1733         3.88              
Vardas1734          Pavarde1734         3.72              
Vardas1735          Pavarde1735         4                 
Vardas1736          Pavarde1736         3.16              
Vardas1737          Pavarde1737         1.72              
Vardas1738          Pavarde1738         4.32              
Vardas1739          Pavarde1739         5.8               
Vardas1740          Pavarde1740         1.76              
Vardas1741          Pavarde1741         6.6               
Vardas1742          Pavarde1742         2.72              
Vardas1743          Pavarde1743         4.76              
Vardas1744          Pavarde1744         4.04              
Vardas1745          Pavarde1745         6.48              
Vardas1746          Pavarde1746         3.2               
Vardas1747          Pavarde1747         7.32              
Vardas1748          Pavarde1748         4.48              
Vardas1749          Pavarde1749         7.12              
Vardas1750          Pavarde1750         6.48              
Vardas1751          Pavarde1751         7.36              
Vardas1752          Pavarde1752         5                 
Vardas1753          Pavarde1753         3.28              
Vardas1754          Pavarde1754         6.36              
Vardas1755          Pavarde1755         2.76              
Vardas1756          Pavarde1756         4                 
Vardas1757          Pavarde1757         7.16              
Vardas1758          Pavarde1758         1.68              
Vardas1759          Pavarde1759         7.44              
Vardas1760          Pavarde1760         2.24              
Vardas1761          Pavarde1761         4.2               
Vardas1762          Pavarde1762         6.44              
Vardas1763          Pavarde1763         4.92              
Vardas1764          Pavarde1764         3.36              
Vardas1765          Pavarde1765         1.56              
Vardas1766          Pavarde1766         8.32              
Vardas1767          Pavarde1767         2.48              
Vardas1768          Pavarde1768         6.8               
Vardas1769          Pavarde1769         6.48              
Vardas1770          Pavarde1770         3.84              
Vardas1771          Pavarde1771         2.8               
Vardas1772          Pavarde1772         6.32              
Vardas1773          Pavarde1773         3.76              
Vardas1774          Pavarde1774         1.76              
Vardas1775          Pavarde1775         5.8               
Vardas1776          Pavarde1776         5.84              
Vardas1777          Pavarde1777         4.6               
Vardas1778          Pavarde1778         7.68              
Vardas1779          Pavarde1779         1.84              
Vardas1780          Pavarde1780         3.4               
Vardas1781          Pavarde1781         3.6               
Vardas1782          Pavarde1782         5.2               
Vardas1783          Pavarde1783         8                 
Vardas1784          Pavarde1784         7.84              
Vardas1785          Pavarde1785         4.6               
Vardas1786          Pavarde1786         6.24              
Vardas1787          Pavarde1787         8.56              
Vardas1788          Pavarde1788         8.08              
Vardas1789          Pavarde1789         7.52              
Vardas1790          Pavarde1790         5.12              
Vardas1791          Pavarde1791         2.04              
Vardas1792          Pavarde1792         1.72              
Vardas1793          Pavarde1793         4.72              
Vardas1794          Pavarde1794         6.04              
Vardas1795          Pavarde1795         4.88              
Vardas1796          Pavarde1796         5.88              
Vardas1797          Pavarde1797         5.88              
Vardas1798          Pavarde1798         4.2               
Vardas1799          Pavarde1799         7.16              
Vardas1800          Pavarde1800         4.56              
Vardas1801          Pavarde1801         5.4               
Vardas1802          Pavarde1802         7.68              
Vardas1803          Pavarde1803         5.16              
Vardas1804          Pavarde1804         3.2               
Vardas1805          Pavarde1805         2.92              
Vardas1806          Pavarde1806         3.48              
Vardas1807          Pavarde1807         3.48              
Vardas1808          Pavarde1808         5.56              
Vardas1809          Pavarde1809         4.68              
Vardas1810          Pavarde1810         6.12              
Vardas1811          Pavarde1811         6.56              
Vardas1812          Pavarde1812         7.36              
Vardas1813          Pavarde1813         3.88              
Vardas1814          Pavarde1814         6.52              
Vardas1815          Pavarde1815         3.88              
Vardas1816          Pavarde1816         9.6               
Vardas1817          Pavarde1817         6.88              
Vardas1818          Pavarde1818         6.52              
Vardas1819          Pavarde1819         1.68              
Vardas1820          Pavarde1820         3.4               
Vardas1821          Pavarde1821         6.84              
Vardas1822          Pavarde1822         7.68              
Vardas1823          Pavarde1823         6.64              
Vardas1824          Pavarde1824         4.88              
Vardas1825          Pavarde1825         5.84              
Vardas1826          Pavarde1826         1.84              
Vardas1827          Pavarde1827         6.64              
Vardas1828          Pavarde1828         5.72              
Vardas1829          Pavarde1829         6.52              
Vardas1830          Pavarde1830         4.88              
Vardas1831          Pavarde1831         5.48              
Vardas1832          Pavarde1832         4.76              
Vardas1833          Pavarde1833         4.24              
Vardas1834          Pavarde1834         6.08              
Vardas1835          Pavarde1835         8.64              
Vardas1836          Pavarde1836         7.08              
Vardas1837          Pavarde1837         2.76              
Vardas1838          Pavarde1838         5.96              
Vardas1839          Pavarde1839         2.12              
Vardas1840          Pavarde1840         4.48              
Vardas1841          Pavarde1841         7.4               
Vardas1842          Pavarde1842         3.6               
Vardas1843          Pavarde1843         5.6               
Vardas1844          Pavarde1844         4.6               
Vardas1845          Pavarde1845         2.24              
Vardas1846          Pavarde1846         6.6               
Vardas1847          Pavarde1847         5.6               
Vardas1848          Pavarde1848         4.08              
Vardas1849          Pavarde1849         5.04              
Vardas1850          Pavarde1850         3.44              
Vardas1851          Pavarde1851         5.56              
Vardas1852          Pavarde1852         3.96              
Vardas1853          Pavarde1853         5.88              
Vardas1854          Pavarde1854         7.44              
Vardas1855          Pavarde1855         5.64              
Vardas1856          Pavarde1856         6.84              
Vardas1857          Pavarde1857         7.28              
Vardas1858          Pavarde1858         6.04              
Vardas1859          Pavarde1859         2.72              
Vardas1860          Pavarde1860         0.24              
Vardas1861          Pavarde1861         5.28              
Vardas1862          Pavarde1862         6.04              
Vardas1863          Pavarde1863         7.24              
Vardas1864          Pavarde1864         5.68              
Vardas1865          Pavarde1865         6.6               
Vardas1866          Pavarde1866         4.76              
Vardas1867          Pavarde1867         3                 
Vardas1868          Pavarde1868         3.4               
Vardas1869          Pavarde1869         6                 
Vardas1870          Pavarde1870         7.8               
Vardas1871          Pavarde1871         6.12              
Vardas1872          Pavarde1872         4.6               
Vardas1873          Pavarde1873         6.28              
Vardas1874          Pavarde1874         2.2               
Vardas1875          Pavarde1875         3.88              
Vardas1876          Pavarde1876         8.6               
Vardas1877          Pavarde1877         6.92              
Vardas1878          Pavarde1878         3.72              
Vardas1879          Pavarde1879         9.12              
Vardas1880          Pavarde1880         2.48              
Vardas1881          Pavarde1881         4.36              
Vardas1882          Pavarde1882         4.6               
Vardas1883          Pavarde1883         4.16              
Vardas1884          Pavarde1884         6.6               
Vardas1885          Pavarde1885         4.36              
Vardas1886          Pavarde1886         6.68              
Vardas1887          Pavarde1887         4.76              
Vardas1888          Pavarde1888         3.56              
Vardas1889          Pavarde1889         4.28              
Vardas1890          Pavarde1890         2.16              
Vardas1891          Pavarde1891         6.6               
Vardas1892          Pavarde1892         3.8               
Vardas1893          Pavarde1893         8.72              
Vardas1894          Pavarde1894         8.08              
Vardas1895          Pavarde1895         4.52              
Vardas1896          Pavarde1896         4.92              
Vardas1897          Pavarde1897         6.72              
Vardas1898          Pavarde1898         7.68              
Vardas1899          Pavarde1899         2.32              
Vardas1900          Pavarde1900         3.92              
Vardas1901          Pavarde1901         2.24              
Vardas1902          Pavarde1902         4.4               
Vardas1903          Pavarde1903         4.6               
Vardas1904          Pavarde1904         3.44              
Vardas1905          Pavarde1905         3.48              
Vardas1906          Pavarde1906         4.96              
Vardas1907          Pavarde1907         7.76              
Vardas1908          Pavarde1908         3.24              
Vardas1909          Pavarde1909         5.4               
Vardas1910          Pavarde1910         1.52              
Vardas1911          Pavarde1911         8                 
Vardas1912          Pavarde1912         8                 
Vardas1913          Pavarde1913         4.6               
Vardas1914          Pavarde1914         6.52              
Vardas1915          Pavarde1915         4.48              
Vardas1916          Pavarde1916         7.72              
Vardas1917          Pavarde1917         3.92              
Vardas1918          Pavarde1918         0.32              
Vardas1919          Pavarde1919         5.64              
Vardas1920          Pavarde1920         4.12              
Vardas1921          Pavarde1921         2.8               
Vardas1922          Pavarde1922         3.8               
Vardas1923          Pavarde1923         8.52              
Vardas1924          Pavarde1924         4.32              
Vardas1925          Pavarde1925         8                 
Vardas1926          Pavarde1926         5.84              
Vardas1927          Pavarde1927         1.44              
Vardas1928          Pavarde1928         5.12              
Vardas1929          Pavarde1929         5.56              
Vardas1930          Pavarde1930         6.4               
Vardas1931          Pavarde1931         6.68              
Vardas1932          Pavarde1932         8.48              
Vardas1933          Pavarde1933         5.2               
Vardas1934          Pavarde1934         7.76              
Vardas1935          Pavarde1935         3.6               
Vardas1936          Pavarde1936         3.96              
Vardas1937          Pavarde1937         3.96              
Vardas1938          Pavarde1938         3.12              
Vardas1939          Pavarde1939         3.28              
Vardas1940          Pavarde1940         3.72              
Vardas1941          Pavarde1941         8                 
Vardas1942          Pavarde1942         3.72              
Vardas1943          Pavarde1943         3.48              
Vardas1944          Pavarde1944         5.96              
Vardas1945          Pavarde1945         1.32              
Vardas1946          Pavarde1946         2.88              
Vardas1947          Pavarde1947         3.44              
Vardas1948          Pavarde1948         3.28              
Vardas1949          Pavarde1949         7.96              
Vardas1950          Pavarde1950         7.84              
Vardas1951          Pavarde1951         7.92              
Vardas1952          Pavarde1952         5.8               
Vardas1953          Pavarde1953         2.4               
Vardas1954          Pavarde1954         4.08              
Vardas1955          Pavarde1955         4.4               
Vardas1956          Pavarde1956         3.16              
Vardas1957          Pavarde1957         2.36              
Vardas1958          Pavarde1958         4.32              
Vardas1959          Pavarde1959         2.8               
Vardas1960          Pavarde1960         3.6               
Vardas1961          Pavarde1961         6.92              
Vardas1962          Pavarde1962         6.76              
Vardas1963          Pavarde1963         3.24              
Vardas1964          Pavarde1964         5.28              
Vardas1965          Pavarde1965         8                 
Vardas1966          Pavarde1966         3.44              
Vardas1967          Pavarde1967         6.88              
Vardas1968          Pavarde1968         7.36              
Vardas1969          Pavarde1969         5.04              
Vardas1970          Pavarde1970         5.76              
Vardas1971          Pavarde1971         8.96              
Vardas1972          Pavarde1972         6.92              
Vardas1973          Pavarde1973         8.56              
Vardas1974          Pavarde1974         8.96              
Vardas1975          Pavarde1975         2.36              
Vardas1976          Pavarde1976         7.72              
Vardas1977          Pavarde1977         5.92              
Vardas1978          Pavarde1978         7.16              
Vardas1979          Pavarde1979         8.32              
Vardas1980          Pavarde1980         4.96              
Vardas1981          Pavarde1981         7.6               
Vardas1982          Pavarde1982         1.96              
Vardas1983          Pavarde1983         8.44              
Vardas1984          Pavarde1984         5.64              
Vardas1985          Pavarde1985         7.92              
Vardas1986          Pavarde1986         6.68              
Vardas1987          Pavarde1987         6.64              
Vardas1988          Pavarde1988         4.2               
Vardas1989          Pavarde1989         3.16              
Vardas1990          Pavarde1990         3.08              
Vardas1991          Pavarde1991         6.36              
Vardas1992          Pavarde1992         1.92              
Vardas1993          Pavarde1993         4.12              
Vardas1994          Pavarde1994         2.56              
Vardas1995          Pavarde1995         6.56              
Vardas1996          Pavarde1996         2.48              
Vardas1997          Pavarde1997         2.88              
Vardas1998          Pavarde1998         7.96              
Vardas1999          Pavarde1999         4.8               
Vardas2000          Pavarde2000         3.08              
Vardas2001          Pavarde2001         4.72              
Vardas2002          Pavarde2002         3.48              
Vardas2003          Pavarde2003         4.92              
Vardas2004          Pavarde2004         4.76              
Vardas2005          Pavarde2005         7.56              
Vardas2006          Pavarde2006         6.52              
Vardas2007          Pavarde2007         6.68              
Vardas2008          Pavarde2008         2.24              
Vardas2009          Pavarde2009         6.76              
Vardas2010          Pavarde2010         7.44              
Vardas2011          Pavarde2011         5.56              
Vardas2012          Pavarde2012         4.44              
Vardas2013          Pavarde2013         2.48              
Vardas2014          Pavarde2014         2.4               
Vardas2015          Pavarde2015         7.44              
Vardas2016          Pavarde2016         7.2               
Vardas2017          Pavarde2017         6                 
Vardas2018          Pavarde2018         3.16              
Vardas2019          Pavarde2019         5                 
Vardas2020          Pavarde2020         7.08              
Vardas2021          Pavarde2021         6.64              
Vardas2022          Pavarde2022         4.08              
Vardas2023          Pavarde2023         3.16              
Vardas2024          Pavarde2024         3.16              
Vardas2025          Pavarde2025         4.08              
Vardas2026          Pavarde2026         2.28              
Vardas2027          Pavarde2027         3.76              
Vardas2028          Pavarde2028         6.4               
Vardas2029          Pavarde2029         4.24              
Vardas2030          Pavarde2030         5.72              
Vardas2031          Pavarde2031         7.52              
Vardas2032          Pavarde2032         3.76              
Vardas2033          Pavarde2033         7.04              
Vardas2034          Pavarde2034         4.68              
Vardas2035          Pavarde2035         4.32              
Vardas2036          Pavarde2036         6.64              
Vardas2037          Pavarde2037         3.16              
Vardas2038          Pavarde2038         8.16              
Vardas2039          Pavarde2039         6.48              
Vardas2040          Pavarde2040         3.24              
Vardas2041          Pavarde2041         7.84              
Vardas2042          Pavarde2042         3.64              
Vardas2043          Pavarde2043         2.32              
Vardas2044          Pavarde2044         5.96              
Vardas2045          Pavarde2045         4.92              
Vardas2046          Pavarde2046         2.76              
Vardas2047          Pavarde2047         3.12              
Vardas2048          Pavarde2048         4.64              
Vardas2049          Pavarde2049         5.92              
Vardas2050          Pavarde2050         3.4               
Vardas2051          Pavarde2051         7.2               
Vardas2052          Pavarde2052         7.48              
Vardas2053          Pavarde2053         5.76              
Vardas2054          Pavarde2054         7.16              
Vardas2055          Pavarde2055         7.64              
Vardas2056          Pavarde2056         4.16              
Vardas2057          Pavarde2057         2.36              
Vardas2058          Pavarde2058         6.96              
Vardas2059          Pavarde2059         5.24              
Vardas2060          Pavarde2060         5                 
Vardas2061          Pavarde2061         6.12              
Vardas2062          Pavarde2062         4.96              
Vardas2063          Pavarde2063         6.4               
Vardas2064          Pavarde2064         6.16              
Vardas2065          Pavarde2065         5.2               
Vardas2066          Pavarde2066         8.24              
Vardas2067          Pavarde2067         2.32              
Vardas2068          Pavarde2068         3.4               
Vardas2069          Pavarde2069         7.4               
Vardas2070          Pavarde2070         5.44              
Vardas2071          Pavarde2071         2.76              
Vardas2072          Pavarde2072         8.04              
Vardas2073          Pavarde2073         2.48              
Vardas2074          Pavarde2074         8.36              
Vardas2075          Pavarde2075         2                 
Vardas2076          Pavarde2076         6.8               
Vardas2077          Pavarde2077         6.24              
Vardas2078          Pavarde2078         4.04              
Vardas2079          Pavarde2079         4.68              
Vardas2080          Pavarde2080         2.44              
Vardas2081          Pavarde2081         6.4               
Vardas2082          Pavarde2082         2.08              
Vardas2083          Pavarde2083         6.68              
Vardas2084          Pavarde2084         3.44              
Vardas2085          Pavarde2085         7.2               
Vardas2086          Pavarde2086         7.68              
Vardas2087          Pavarde2087         1.88              
Vardas2088          Pavarde2088         3.92              
Vardas2089          Pavarde2089         3.68              
Vardas2090          Pavarde2090         4.4               
Vardas2091          Pavarde2091         5.96              
Vardas2092          Pavarde2092         3                 
Vardas2093          Pavarde2093         3.24              
Vardas2094          Pavarde2094         7.28              
Vardas2095          Pavarde2095         3.8               
Vardas2096          Pavarde2096         3.44              
Vardas2097          Pavarde2097         4.68              
Vardas2098          Pavarde2098         3.6               
Vardas2099          Pavarde2099         5.72              
Vardas2100          Pavarde2100         6.36              
Vardas2101          Pavarde2101         4.08              
Vardas2102          Pavarde2102         8.16              
Vardas2103          Pavarde2103         3.64              
Vardas2104          Pavarde2104         6.16              
Vardas2105          Pavarde2105         8.24              
Vardas2106          Pavarde2106         4.44              
Vardas2107          Pavarde2107         5.68              
Vardas2108          Pavarde2108         7.92              
Vardas2109          Pavarde2109         2                 
Vardas2110          Pavarde2110         4.04              
Vardas2111          Pavarde2111         3.2               
Vardas2112          Pavarde2112         4.04              
Vardas2113          Pavarde2113         4.24              
Vardas2114          Pavarde2114         7.8               
Vardas2115          Pavarde2115         3.52              
Vardas2116          Pavarde2116         6                 
Vardas2117          Pavarde2117         4.36              
Vardas2118          Pavarde2118         6.92              
Vardas2119          Pavarde2119         3.8               
Vardas2120          Pavarde2120         1.68              
Vardas2121          Pavarde2121         6.2               
Vardas2122          Pavarde2122         6.08              
Vardas2123          Pavarde2123         6                 
Vardas2124          Pavarde2124         2.32              
Vardas2125          Pavarde2125         5.64              
Vardas2126          Pavarde2126         8.08              
Vardas2127          Pavarde2127         2.64              
Vardas2128          Pavarde2128         1.48              
Vardas2129          Pavarde2129         5.4               
Vardas2130          Pavarde2130         6.6               
Vardas2131          Pavarde2131         5.36              
Vardas2132          Pavarde2132         4.44              
Vardas2133          Pavarde2133         4.84              
Vardas2134          Pavarde2134         5.68              
Vardas2135          Pavarde2135         6.56              
Vardas2136          Pavarde2136         1.88              
Vardas2137          Pavarde2137         8.48              
Vardas2138          Pavarde2138         6.4               
Vardas2139          Pavarde2139         7.48              
Vardas2140          Pavarde2140         8.08              
Vardas2141          Pavarde2141         6.32              
Vardas2142          Pavarde2142         2.68              
Vardas2143          Pavarde2143         3.48              
Vardas2144          Pavarde2144         6.68              
Vardas2145          Pavarde2145         4.72              
Vardas2146          Pavarde2146         6.08              
Vardas2147          Pavarde2147         8.04              
Vardas2148          Pavarde2148         2.24              
Vardas2149          Pavarde2149         7.44              
Vardas2150          Pavarde2150         7.12              
Vardas2151          Pavarde2151         2.88              
Vardas2152          Pavarde2152         9.12              
Vardas2153          Pavarde2153         4.64              
Vardas2154          Pavarde2154         5.8               
Vardas2155          Pavarde2155         7.72              
Vardas2156          Pavarde2156         4.8               
Vardas2157          Pavarde2157         7.36              
